age,workclass,education,marital-status,occupation,race,gender,hours-per-week,native-country,income
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,>50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,>50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,>50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,>50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,>50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[40, 80[",?,High education,*,Other,Black,Male,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,>50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,>50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
"[17, 40[",?,High education,*,Other,White,Female,"[1, 42[",North America,<=50K
